timestamp,tradeType,price,available_amount,min_single_trans,max_single_trans,payment_methods,nickName
2025-10-28T00:00:09.742107,SELL,1474.81,175.98,8000.0,259537.0,"Naranja X, Lemon Cash, Mercadopago",NicoYiyi
2025-10-28T00:00:09.742149,SELL,1474.8,149.2,45700.0,180000.0,"BBVA, Banco Brubank, Banco del Sol, Mercadopago, Naranja X",exchange1260
2025-10-28T00:00:09.742161,SELL,1474.53,68.1,10000.0,100000.0,"Lemon Cash, Uala, Mercadopago, Banco Brubank",misiocrypto
2025-10-28T00:00:09.742170,SELL,1474.53,238.61,7840.0,50000.0,"Bank Transfer (Argentina), Lemon Cash, Mercadopago, Naranja X, Banco Brubank",La_abuelita_cripto
2025-10-28T00:00:09.742178,SELL,1474.5,550.05,300000.0,811048.0,"Lemon Cash, Mercadopago, Banco Brubank, Naranja X, Uala",Mauri muchos Dolares
2025-10-28T00:00:09.742186,SELL,1473.91,245.0,30000.0,250000.0,"Belo app, Naranja X, Mercadopago, Lemon Cash, Banco Brubank",mw-project
2025-10-28T00:00:09.742208,SELL,1473.9,700.0,10000.0,1031730.0,"Lemon Cash, Banco Brubank, Naranja X",gapicc
2025-10-28T00:00:09.742217,SELL,1473.81,5745.82,300000.0,8468246.0,"Banco Brubank, Bank Transfer (Argentina), Mercadopago, Uala, Lemon Cash",GTDigitalCapital
2025-10-28T00:00:09.742224,SELL,1473.8,6649.0,250000.0,9799296.0,"BBVA, Banco Brubank, Bank Transfer (Argentina), Mercadopago, Naranja X",TecnoBL
2025-10-28T00:00:09.742232,SELL,1473.8,6024.28,1000000.0,8878583.0,"Banco Brubank, Uala, Bank Transfer (Argentina), Lemon Cash, Mercadopago",cryptoMarket_000
2025-10-28T00:00:09.742239,SELL,1473.79,1295.26,700000.0,1908941.0,Lemon Cash,Latocrip
2025-10-28T00:00:09.742246,SELL,1473.76,3744.43,700000.0,5518391.0,Mercadopago,FuriaLuminosa
2025-10-28T00:00:09.742261,SELL,1473.51,2100.05,800000.0,3094444.0,Lemon Cash,DarkHold_
2025-10-28T00:00:09.742274,SELL,1473.5,100.0,7900.0,50000.0,Mercadopago,Leocandia
2025-10-28T00:00:09.742287,SELL,1473.19,1407.0,400000.0,2072778.0,"Uala, Banco Brubank, Bank Transfer (Argentina), Mercadopago, Banco Santander Argentina",_iCrypto23_
